city_full,re_2030,,city_full,re_2030,State,,,,,,,,,,
City of Los Angeles,56352406.64,1,City of Los Angeles,56.35240664,CA,,"CA, US",4,,"CA, US","CO, US",Canada,"TX, US","MN, US","KY, US"
City of Denver,6785420,2,City of Denver,6.78542,CO,,"MN, US",2,,4,1,2,1,1,1
City of Vancouver,6174193.548,3,City of Vancouver,6.174193548,WA,,"CO, US",1,,,,,,,
City of Victoria,5463875.303,4,City of Victoria,5.463875303,MN,,WA,1,,,,,,,
City of San Diego,4296600,5,City of San Diego,4.2966,CA,,"TX, US",1,,"CA, US","MN, US","CO, US",WA,"TX, US","KY, US"
City of Austin,3964942.656,6,City of Austin,3.964942656,TX,,"KY, US",1,,4,2,1,1,1,1
City of Minneapolis,3842763,7,City of Minneapolis,3.842763,MN,,,,,,,,,,
City of Las Vegas,3044832,8,City of Las Vegas,3.044832,CA,,,,,,,,,,
City of Edmonton,2706830.1,9,City of Edmonton,2.7068301,KY,,,City,,,,,TWh,,
City of San José,2696903.639,10,City of San Jose,2.696903639,CA,,,Miami,1125,13500,470914,6357339000,6.357339,,
District of Columbia,2664733.303,,District of Columbia,2.664733303,DC,,,Phoenix,905,10860,1660000,18027600000,18.0276,,
City of Cleveland,2615766.484,,City of Cleveland,2.615766484,OH,,,Charlotte,879,10548,872000,9197856000,9.197856,,
City of San Francisco,2104782.54,,City of San Francisco,2.10478254,CA,,,Atlanta,837,10044,498000,5001912000,5.001912,,
City of Calgary,1977247.059,,City of Calgary,1.977247059,,,,Las Vegas,788,9456,644000,6089664000,6.089664,,
"City of Portland, OR",1900815.84,,"City of Portland, OR",1.90081584,,,,Los Angeles,735,8820,3990000,35191800000,35.1918,,
"City of Denton, TX",1625000,,"City of Denton, TX",1.625,,,,Portland,669,8028,653000,5242284000,5.242284,,
City of Seattle,1609000,,City of Seattle,1.609,,,,Washington DC,613,7356,705000,5185980000,5.18598,,
City of Atlanta,1399089.443,,City of Atlanta,1.399089443,,,,Columbus,608,7296,892000,6508032000,6.508032,,
City of Madison,1309816.258,,City of Madison,1.309816258,,,,Denver,475,5700,619000,3528300000,3.5283,,
City of Boulder,1190982,,City of Boulder,1.190982,,,,San Jose,394,4728,1030000,4869840000,4.86984,,
City of Columbus,992328,,City of Columbus,0.992328,,,,Chicago,380,4560,2706000,12339360000,12.33936,,
City of Santa Monica,900000,,City of Santa Monica,0.9,,,,San Diego,326,3912,1426000,5578512000,5.578512,,
"City of Evanston, IL",730975,,"City of Evanston, IL",0.730975,,,,New York City,304,3648,8399000,30639552000,30.639552,,
City of Tacoma,725000,,City of Tacoma,0.725,,,,San Francisco,261,3132,830000,2599560000,2.59956,,
City of Lancaster,718704,,City of Lancaster,0.718704,,,,,,,,,,,
City of Lakewood,668006.352,,City of Lakewood,0.668006352,,,,,,,,,,,
"City of Fayetteville, AR",399575.8516,,"City of Fayetteville, AR",0.399575852,,,,,,,,,,,
City of Iowa City,327724.56,,City of Iowa City,0.32772456,,,,City,TWh,,,,,,
"City of Park City, UT",254519,,"City of Park City, UT",0.254519,,,,San Francisco,2.59956,,,,,,
"City of Columbia, MO",189500,,"City of Columbia, MO",0.1895,,,,Denver,3.5283,,,,,,
City of Burlington,188755.776,,City of Burlington,0.188755776,,,,San Jose,4.86984,,,,,,
Abington Township,129547.4899,,Abington Township,0.12954749,,,,Atlanta,5.001912,,,,,,
New York City,1000,,New York City,0.001,,,,Washington DC,5.18598,,,,,,
Salt Lake City,100,,Salt Lake City,0.0001,,,,Portland,5.242284,,,,,,
City of Palo Alto,33,,City of Palo Alto,0.000033,,,,San Diego,5.578512,,,,,,
"City of Santa Barbara, CA",0,,,,,,,Las Vegas,6.089664,,,,,,
City of Sarasota,0,,,,,,,Miami,6.357339,,,,,,
City of Omaha,0,,,,,,,Columbus,6.508032,,,,,,
City of St Louis,0,,,,,,,Charlotte,9.197856,,,,,,
"City of Manhattan Beach, CA",0,,,,,,,Chicago,12.33936,,,,,,
"Broward County, FL",0,,,,,,,Phoenix,18.0276,,,,,,
"City of Encinitas, CA",0,,,,,,,New York City,30.639552,,,,,,
City of Chula Vista,0,,,,,,,Los Angeles,35.1918,,,,,,
"Town of Lexington, MA",0,,,,,,,,,,,,,,
